
くろグミ団は名探偵　カラス岩の宝物,,ユリアン・ブレス,岩波書店,2016,,,多い,124,推理、なぞ、ミステリー,ミステリーの扉,,,,,,
くろグミ団は名探偵　石弓の呪い,,ユリアン・ブレス,岩波書店,2016,,,多い,128,推理、なぞ、ミステリー,ミステリーの扉,,,,,,
くろグミ団は名探偵　紅サンゴの陰謀,,ユリアン・ブレス,岩波書店,2016,,,多い,128,推理、なぞ、ミステリー,ミステリーの扉,,,,,,
くろグミ団は名探偵　S博士を追え！,,ユリアン・ブレス,岩波書店,2016,,,多い,128,推理、なぞ、ミステリー,ミステリーの扉,,,,,,
くろグミ団は名探偵　消えた楽譜,,ユリアン・ブレス,岩波書店,2018,,,多い,128,推理、なぞ、ミステリー,ミステリーの扉,,,,,,
最後のひと葉,,オー・ヘンリー著　金原瑞人訳,岩波少年文庫,2001,"10,11,12",,,204,生きる、希望,生・死の扉,,,,,,
からだことば　日本語から読み解く身体,,立川昭二,早川書房,,"10,11,12",,,,日本語,言葉の扉,,,,,,
エリカ　奇跡のいのち,,ルース・バンダー・ジー著　柳田邦夫訳,講談社,2004,"10,11,12",,,,戦争、第二次世界大戦、収容所、生きる,伝記・歴史の扉,生・死の扉,,,,,
クローディアの秘密,,Ｅ・Ｌ・カニグズバーグ著　松永ふみ子訳,岩波少年文庫,2000,"10,11,12",,,242,家出、きょうだい、美術館,冒険の扉,,,,,,
子どもたちに自由を！,,トニ・モリソン、スレイド・モリソン著　長田弘訳,みすず書房,2002,"10,11,12",,,,自由,友達の扉,,,,,,
急行「北極号」,,クリス・ヴァン・オールズバーグ著　村上春樹訳,あすなろ書房,,"10,11,12",,,,クリスマス、旅,冒険の扉,不思議の扉,,,,,
コルチャック先生,,近藤康子,岩波ジュニア新書,,"10,11,12",,,,強制収容所,伝記・歴史の扉,学校の扉,生・死の扉,,,,
宿題ひきうけ株式会社,,古田足日,理論社,,"10,11,12",,,,勉強,学校の扉,,,,,,
風力鉄道に乗って,,斎藤洋,理論社,,"10,11,12",,,,塾,学校の扉,,,,,,
ぼくらのサイテーの夏,,笹生陽子,講談社青い鳥文庫,,"10,11,12",,,,家族,家族の扉,,,,,,
こがね谷の秘密,,木暮正夫,金の星社,,"10,11,12",,,,ミステリー,ミステリーの扉,,,,,,
ユウキ,,伊藤遊,福音館書店,,"10,11,12",,,,人間、成長,友達の扉,ミステリーの扉,,,,,
ビルマの竪琴,,竹山道雄,偕成社文庫,,"10,11,12",,,,戦争、宗教,伝記・歴史の扉,,,,,,
最後の授業,,アルフォンス・ドーテ著　南本史訳,ポプラポケット社,,"10,11,12",,,,戦争、学校,伝記・歴史の扉,学校の扉,,,,,
クオレ,,エドモント・デ・アミーチス著　矢崎源九郎訳,講談社少年少女世界文学館,,"10,11,12",,,,学校、日記,学校の扉,家族の扉,,,,,
最後の一句,,森鴎外,教育出版,,"10,11,12",,,,罪,家族の扉,,,,,,
トムは真夜中の庭で,,フィリパ・ピアス著　高杉一郎訳,岩波少年文庫,,"10,11,12",,,,物語,不思議の扉,,,,,,
時の旅人,,アリソン・アトリー著　松野正子訳,岩波少年文庫,,"10,11,12",,,,タイムスリップ,冒険の扉,,,,,,
ニルスのふしぎな旅,,セルマ・ラーゲルレーフ著　山室静訳,講談社青い鳥文庫,,"10,11,12",,,,旅,冒険の扉,,,,,,
世界を変えた人が子どもだったころの話,,,php研究所,,"10,11,12",あり,多い,,歴史,伝記・歴史の扉,,,,,,
たくさんの不思議　似たもの動物園,,川道武男,,,,,,,,動物・昆虫の扉,知識の扉,不思議の扉,,,,
たくさんの不思議　あっちゃんのおせち日記,,さげさかのりこ,,,,,,,,不思議の扉,知識の扉,,,,,
たくさんの不思議　コンクリートって何？,,細田暁,,,,,,,,不思議の扉,知識の扉,,,,,
たくさんの不思議　星空をながめて,,関口ジュン,,,,,,,,不思議の扉,自然の扉,知識の扉,,,,
たくさんの不思議　アシカとアザラシ,,水口博也,,,,,,,,動物・昆虫の扉,不思議の扉,知識の扉,,,,
たくさんの不思議　ロンドンに建ったガラスの宮殿,,村上リコ,,,,,,,,不思議の扉,知識の扉,,,,,
たくさんの不思議　うんこ虫を追え,,舘野鴻,,,,,,,,不思議の扉,自然の扉,動物・昆虫の扉,,,,
たくさんの不思議　珪藻美術館,,奥修,,,,,,,,不思議の扉,自然の扉,知識の扉,,,,
たくさんの不思議　9つの森とシフォカ達,,島泰三,,,,,,,,不思議の扉,知識の扉,自然の扉,,,,
たくさんの不思議　ヒキガエルと暮らす,,山内祥子　　,,,,,,,,動物・昆虫の扉,自然の扉,不思議の扉,知識の扉,,,
たくさんの不思議　山里で暮らす,,佐藤秀明,,,,,,,,自然の扉,不思議の扉,知識の扉,,,,
たくさんの不思議　まぼろし色のモンシロチョウ,,小原嘉明,,,,,,,,動物・昆虫の扉,不思議の扉,知識の扉,,,,
たくさんの不思議　ヘリコプターの仕組み,,斎藤茂,,,,,,,,不思議の扉,知識の扉,,,,,
たくさんの不思議　家をまもる,,小松義夫,,,,,,,,不思議の扉,知識の扉,,,,,
たくさんの不思議　小さな小さな粒素粒子の話,,藤本順平,,,,,,,,不思議の扉,知識の扉,,,,,
たくさんの不思議　土のうの道,,木村亮,,,,,,,,不思議の扉,知識の扉,,,,,
たくさんの不思議　かっこいいピンクを探しに,,なかむらるみ,,,,,,,,不思議の扉,知識の扉,,,,,
たくさんの不思議　光の正体,,江馬一弘,,,,,,,,不思議の扉,知識の扉,,,,,
たくさんの不思議　地球縦断の旅,,石川直樹,,,,,,,,不思議の扉,知識の扉,冒険の扉,,,,
たくさんの不思議　ギアナ高地謎の山テプイ,,寺沢孝毅,,,,,,,,不思議の扉,知識の扉,自然の扉,,,,
たくさんの不思議　馬と生きる,,澄川嘉彦,,,,,,,,動物・昆虫の扉,不思議の扉,知識の扉,,,,
たくさんの不思議　日本にいたゾウ,,大島英太郎,,,,,,,,不思議の扉,知識の扉,動物・昆虫の扉,,,,
たくさんの不思議　はじめちょろちょろ中ぱっぱ,,森枝卓士,,,,,,,,不思議の扉,知識の扉,,,,,
たくさんの不思議 　二本足と四本足,,香原志勢,,,,,,,,不思議の扉,知識の扉,動物・昆虫の扉,,,,
宇宙戦争,,ハーバート・ジョージ・ウェルズ著加藤まさし訳,講談社青い鳥文庫,1999,"10,11,12",,,253,宇宙、,ミステリーの扉,,,,,,
クリスマス・キャロル,,ディケンズ著　脇明子訳,岩波少年文庫,,"10,11,12",,,,ファンタジー,ファンタジーの扉,,,,,,
蜘蛛男,,江戸川乱歩,創元推理文庫,,"10,11,12",,,,推理,ミステリーの扉,,,,,,
黄金虫,,エドガー・アラン・ポー著　佐々木直次郎訳,新潮文庫,,"10,11,12",,,,推理,ミステリーの扉,,,,,,
ふしぎな数のおはなし,,芳沢光雄,数研出版,,"10,11,12",,,,算数、数学,算数の扉,知識の扉,,,,,
数の悪魔　算数・数学が楽しくなる１２夜,,Ｈ・Ｍエンツェンスベルガー著　丘沢静也訳,晶文社,,"10,11,12",,,,数学,算数の扉,知識の扉,,,,,
青い鳥,,モーリス・メーテルリンク著　末松氷梅子訳,岩波少年文庫,,"10,11,12",,,,物語、戯曲,ファンタジーの扉,,,,,,
高橋尚子　夢に向かって走る,,増島みどり,講談社青い鳥文庫,,"10,11,12",,,,スポーツ、オリンピック、マラソン,スポーツの扉,,,,,,
イチロー２６２のメッセージ,,夢をつかむイチロー２６２のメッセージ編集委員会,ピア,,"10,11,12",,,,スポーツ、野球,スポーツの扉,,,,,,
松井秀喜　５５の言葉,,松下茂典,東京書籍,,"10,11,12",,,,スポーツ、野球,スポーツの扉,,,,,,
前略　がんばっているみんなへ　キタジマくんからのメッセージ,,北島康介,ベースボール・マガジン社,,"10,11,12",,,,スポーツ、水泳、オリンピック,スポーツの扉,,,,,,
聞いて、ヴァイオリンの詩,,千住真理子,時事通信社,,"10,11,12",,,,音楽、ヴァイオリン、エッセイ,伝記・歴史の扉,,,,,,
青い宇宙の冒険,,小松左京,講談社青い鳥文庫,,"10,11,12",,,,SF,ミステリーの扉,,,,,,
宇宙のみなしご,,森絵都,講談社,,"10,11,12",,,,登校拒否,家族の扉,,,,,,
きよしこ,,重松清,新潮社,,"10,11,12",,,,吃音、転校、友情,友達の扉,学校の扉,,,,,
川の名前,,川端裕人,早川書房,2006,"10,11,12",,,487,夏休み、自由研究、自然、冒険,自然の扉,学校の扉,友達の扉,,,,
あのころはフリードリヒがいた,,ハンス・ペーター・リヒター著　上田真而子訳,岩波少年文庫,2000,"10,11,12",,,255,ドイツ、ユダヤ人、戦争,伝記・歴史の扉,生・死の扉,,,,,
清兵衛と瓢箪,,志賀直哉,集英社文庫,1992,"10,11,12",,,254,学校、芸術,学校の扉,文学の扉,,,,,
雨の動物園ー私の博物誌ー,,舟崎克彦,岩波少年文庫,2007,"10,11,12",,,222,野鳥、喪失感、自伝的小説,動物・昆虫の扉,家族の扉,,,,,
あすなろ物語,,井上靖,新潮文庫,2002,"10,11,12",,,256,自伝的小説,文学の扉,,,,,,
夏の庭　The  Frends,,湯本香樹実,新潮文庫,2001,"10,11,12",,,218,死、心温まる物語,生・死の扉,友達の扉,,,,,
今夜は眠れない,,宮部みゆき,講談社青い鳥文庫,2006,"10,11,12",,,331,家族、推理小説,家族の扉,ミステリーの扉,,,,,
地球の狂った日,,べリヤーエフ著　福島正実,国土社,1982,"10,11,12",,,118,異常気象,不思議の扉,自然の扉,,,,,
機関車先生,,伊集院静,講談社文庫,,"10,11,12",,,,学校、人間のやさしさ,学校の扉,,,,,,
すももの夏,,ルーマー・ゴッテン著　野口絵美訳,徳間書店,,"10,11,12",,,,夏休み,家族の扉,ミステリーの扉,,,,,
ライムギ畑でつかまえて,,Ｊ．Ｄ．サリンジャー著　野崎孝訳,白水社,,"10,11,12",,,,思春期、少年,文学の扉,,,,,,
車輪の下,,ヘルマン・ヘッセ著　高橋健二訳,新潮文庫,,"10,11,12",,,,少年,文学の扉,学校の扉,,,,,
少年時代,,トルストイ著　藤沼貴訳,岩波文庫,,"10,11,12",,,,自伝小説、少年、親子関係,家族の扉,文学の扉,,,,,
