月夜のみみずく,,ヨ―レン、くどうなおこ訳,偕成社,1989,低学年,全部,多い,32,鳥、自然、動物、家族,動物・植物の扉,家族の扉,,,月夜の雪の森へ、父さんとふたりでわしみみずく探しに出かけた女の子。その胸の高鳴りと大自然との交歓をみごとに描く詩の絵本。,,
霧のむこうのふしぎな町,,柏葉幸子,講談社,2022,低学年,全部,普通,539,不思議、ファンタジー、ひとり旅,不思議の扉,ファンタジーの扉,,,心躍る夏休み。6年生のリナは1人で旅に出た。霧の谷の森を抜け、霧が晴れた後、赤やクリーム色の洋館が立ち並ぶ、きれいでどこか風変わりな町が現れた。リナが出会った、めちゃくちゃ通りに住んでいる、へんてこりんな人々との交流が、みずみずしく描かれる。,,
野尻湖のぞう,,井尻正二,福音館書店,1980,低学年,全部,多い,39,化石、火山、ぞう、発掘,伝記・歴史の扉,動物・植物の扉,,,1948年、野尻湖でぞうの歯と思われる化石が見つかりました。この化石は、ナマンゾウとよばれる大昔に日本に住んでいたゾウの臼歯（奥歯）でした。　幾度かの発掘での調査結果をわかりやすく解説しています。,,
魔法使いのチョコレート・ケーキ,,マーヒー　石井桃子・役,福音館書店,2004,低学年,あり,普通,181,魔法、ファンタジー,ファンタジーの扉,,,,ニュージーランドの児童文学作家、マーガレット・マーヒーのお話集。魔法と驚きに満ちた世界へ子どもたちを案内し、夢と願いを存分に満たしてくれる不思議なお話を、石井桃子さんの訳でお届けします。収録作品は「たこあげ大会」「葉っぱの魔法」「遊園地」「魔法使いのチョコレート・ケーキ」など。,,
車のいろは空のいろ白いぼうし,,あまんきみこ,ポプラ社,2022,低学年,あり,多い,124,ファンタジー,不思議の扉,ファンタジーの扉,,,男の子がぼうしの中につかまえたチョウを逃がしてしまった松井さん。チョウのかわりに思いついたものとは…表題作ほか８編収録。,,
宇宙人のいる教室,,さとうまさこ,金の星社,2012,低学年,全部,普通,141,転校生、友達、学校,友達の扉,学校の扉,,,運動神経はゼロ、ジョーシキもゼロ、いじめられてもそれに気づかないなんていう、へんな転校生、星レオナ。ぼくは見てしまったんだ。あいつの家に、クラス全員の身上調査がインプットされてあるのを。あいつは宇宙人にちがいない、地球をしんりゃくしようとしているにちがいない。,,
長くつ下のピッピ,,リンドグレーン　大塚勇三・訳,岩波書店,2018,低学年,あり,普通,198,友達、自由、正義、ユーモア,友達の扉,ユーモアの扉,,,母はなく父の船長は南海で行方不明という世界一つよい女の子の天衣無縫な生き方の中に人は愛さずにいられない永遠の少女を見出す．,,
世界でいちばん貧しい大統領のスピーチ,,くさばよしみ,汐文社,2014,低学年,あり,多い,32,世界、環境,伝記・歴史の扉,,,,2012年、ブラジルのリオデジャネイロで開かれた国際会議。南米のウルグアイのムヒカ大統領はのちに世界の人々から絶賛されるスピーチをのこします。この絵本はその全容を紹介するものです。,,
ルドルフとイッパイアッテナ,,斎藤洋,講談社,1987,低学年,,普通,274,動物、友情,動物・植物の扉,友達の扉,,,猫と人間、それぞれの愛と友情の物語。ひょんなことから、長距離トラックで東京にきてしまった、黒猫ルドルフ。土地のボス猫と出会い、このイッパイアッテナとの愉快なノラ猫生活がはじまった……。 青少年読書感想文全国コンクール課題図書／第27回講談社児童文学新人賞受賞作。,,
ひとしずくの水,,ウィック　林田康一・訳,あすなろ書房,1998,低学年,,多い,35,不思議、科学、自然,知識の扉,,,,「水」のあらゆる姿をとらえた科学絵本。雲のでき方／雪の結晶ほか、子どもたちが身近に実験できる場面が多いのも本書の魅力。,,
セロ弾きのゴーシュ,,宮沢賢治,くもん出版,1992,低学年,あり,多い,73,文学,文学の扉,,,,町の活動写真館でセロを弾く係のゴーシュは、練習してもセロをうまく弾けません。突然現れた動物たちの助けをかりて、ゴーシュはセロの練習に没頭します。,,
チョコレート戦争,,大石真,理論社,1999,低学年,全部,多い,189,友達,友達の扉,,,,有名なケーキやさんのウィンドウガラスが割れて、いあわせた明と光一が犯人にされてしまう。そこで子どもたちは立ちあがった…。,,
先生のつうしんぼ,偕成社文庫,宮川ひろ,偕成社,2014,低学年,あり,普通,180,学校,学校の扉,,,,古谷先生は、給食のにんじんが食べられません。あるとき、先生がこっそりにんじんをすてるところを見てしまった吾郎は、自分だけで先生のつうしんぼをつけてみることにしました。,,
百まいのドレス,,エスディス　石井桃子・訳,岩波書店,2006,低学年,全部,多い,92,差別、アメリカ,友達の扉,伝記・歴史の扉,,,いつも色あせた青い服を着ているワンダが「あたし，ドレスを百まい持ってる」と言い張るので，クラスの女の子たちはからかわずにいられませんでした……．『百まいのきもの』，50年ぶりの改訳新版．,,
８本あしのゆかいな仲間　クモ,,谷本雄治,くもん出版,2005,低学年,あり,多い,143,昆虫,知識の扉,動物・植物の扉,動物・昆虫の扉,,クモたちの意外な生活を知ったら、ちょっぴりきらわれ者のクモも、本当はゆかいな生きものだって気づくかもしれません。クモはいつも身近にいます。さあ、谷本さんの道案内のもと、ご一緒に「クモの王国」の扉を開けてみませんか？,,
本のれきし5000年,,辻村益朗,福音館書店,1992,低学年,あり,多い,40,本、歴史,伝記・歴史の扉,言葉の扉,知識の扉,,イラストや珍しい写真をふんだんに使った「本の歴史」の本。メソポタミアでは、粘土板に楔形文字を書いて、窯で焼いて保存していました。古代の時代から紙や印刷術が発明されるまで、またその後の改良の歴史を美しい写真や絵でたどった貴重な1冊です。,,
小さなスプーンおばさん,,プリョイセン　大塚勇三・訳,学研プラス,1978,低学年,全部,多い,166,ファンタジー,ファンタジーの扉,,,,ある朝、目がさめたら、いきなり茶さじくらいに縮んでしまうスプーンおばさん。気丈なおばさんは少しもあわてず、てきぱきと困難をきり抜けていく。気のやさしいご亭主との静かな暮らしのなかでおこる珍事件を明るくユーモラスに描いた物語。,,
学校ウサギをつかまえろ,,岡田淳,偕成社,1986,低学年,あり,多い,149,学校、友達,動物・植物の扉,友達の扉,学校の扉,,無口な転校生・美佐子が、うっかり逃がしてしまった学校のウサギ。夕暮れの工事現場でくりひろげられる４年生６人の友情物語。,,
新ちゃんがないた！,,佐藤州男,文研出版,1986,低学年,あり,多い,150,友情,友達の扉,学校の扉,,,新ちゃんは小学5年生。この春から幼なじみの剛と同じ学校に通うことになった。四肢性マヒという障害のためリハビリをしていたのだ。第33回青少年読書感想文コンクール課題図書,,
一つの花,ポプラポケット文庫,今西祐行,ポプラ社,2005,低学年,全部,普通,190,戦争、平和,伝記・歴史の扉,,,,父と母と一人娘だけの　幸福な小さな家庭が「戦争」によって、踏みにじられていきます…。表題作他、「花のオルガン」「はまひるがおの小さな海」など、8編を収録。,,
こちらマガーク探偵団,,ヒルディック　蕗沢忠枝・訳,あかね書房,2003,低学年,あり,多い,162,探偵、ミステリー,ミステリーの扉,,,,引っ越してきた少年の野球ミットが紛失した。マガークとウィリー、ジョーイ、ワンダの４人は「少年探偵団」を結成して、犯人を追いつめる！,,
しっぽをなくしたイルカ,講談社青い鳥文庫,岩貞るみこ,講談社,2007,低学年,全部,普通,189,動物、イルカ、水族館、ノンフィクション,動物・植物の扉,,,,沖縄美ら海（ちゅらうみ）水族館のイルカ、フジは原因不明の病気で尾びれをなくしてしまった。まったく泳がなくなったフジに、イルカの泳ぎを取りもどさせたい！ 水族館の獣医・植田の熱い思いから、世界初のイルカの人工尾びれをつくるプロジェクトが手さぐりではじまった。,,
森の王国,,竹田津実,偕成社,1996,低学年,あり,普通,169,自然、魚、鳥、植物、両生類,知識の扉,動物・植物の扉,,,ヒミツの小屋を作り、メジロをつかまえた鎮守の森。豊かな自然に恵まれて子ども時代を過ごした著者が、自然とのふれあいを語る。,,
みんなでつくる１本の辞書,,飯田朝子,福音館書店,2015,低学年,あり,多い,47,数,算数の扉,知識の扉,知識の扉,,日本語を教えていた飯田先生は、ある日留学生に「どうして、にんじんも、電車も、柔道の勝負も「１本」と数えるの？」と質問され、返事に困ります。例をたくさん集めることによって、日本語を話す人が「1本」と数えるときに思い描くイメージを明らかに。大調査のはじまりです。,,
くまのパディントン,,マイケル・ボンド　松岡享子・訳,福音館書店,2002,低学年,あり,普通,217,動物,ファンタジーの扉,動物・植物の扉,,,ブラウン夫妻が初めてパディントンに会ったのは、パディントン駅のプラットホームでした。暗黒の地ペルーから、1人で移民してきて、身寄りもなく駅の隅に佇んでいましたが、親切なブラウン夫妻にひきとられ、縦横無尽に活躍します。おかしなおかしなクマのパディントンのお話です。,,
お星さまのレール,,小林千登勢,金の星社,1994,低学年,あり,多い,172,戦争、引き上げ,伝記・歴史の扉,家族の扉,,,生まれたばかりの弟を背に、星をたよりに命がけで越えた38度線。朝鮮からの引き揚げ体験を、当時９歳の著者の目を通して、ありのままにつづるノンフィクション。平和を望み、女優である母が子に語る、戦争の物語。時を経て色あせぬ、戦争文学の名作。,,
ヘレン・ケラー自伝,講談社火の鳥文庫,今西祐行,講談社,2017,低学年,全部,普通,221,伝記,伝記・歴史の扉,,,,わずか一歳で光と音を失い、七歳までことばの存在を知らなかったヘレン・ケラー。三重苦の彼女は、サリバン先生の愛に導かれ「ことばの世界」に目ざめる。知的好奇心に満ちた日々を綴った若き日の自伝。,,
